id,input,label,accepted_labels
63,How do I run an application layer load test with headers request bodies and several attacker pods?,http-load,
64,I want to pressure a REST API with coordinated HTTP traffic across the cluster.,http-load,
65,Which chaos scenario benchmarks a target endpoint under heavy HTTP request volume?,http-load,
66,How can I fan out sustained web traffic to a service so I can observe latency and errors?,http-load,
67,I need a load generation scenario for a service and not a network degradation test.,http-load,
68,What should I run to simulate many concurrent HTTP clients hitting one endpoint?,http-load,
69,How do I exercise ingress or a service with distributed HTTP requests for a few minutes?,http-load,
70,How can I simulate a KubeVirt VM crashing by deleting its running instance?,kubevirt-outage,
71,I need a scenario that removes a specific Virtual Machine Instance in a namespace.,kubevirt-outage,
72,What should I run to test recovery after a CNV virtual machine disappears?,kubevirt-outage,
73,How do I create a VM level outage for one KubeVirt guest?,kubevirt-outage,
74,I want to delete a VMI on purpose to validate auto recovery behavior.,kubevirt-outage,
75,Which chaos test deletes a KubeVirt virtual machine instance instead of changing pod or container networking?,kubevirt-outage,
76,How can I reproduce a VM outage in OpenShift Virtualization?,kubevirt-outage,
77,I need to crash a named KubeVirt guest without shutting down the whole node.,kubevirt-outage,
78,What scenario knocks out one VMI so I can observe failover or restart handling?,kubevirt-outage,
79,How do I run a resilience drill that deletes a specific VMI?,kubevirt-outage,
80,How can I inject latency and packet loss into a node host network interface?,network-chaos,
81,I need a scenario that shapes node traffic with bandwidth limits at the host level.,network-chaos,
82,What should I run to make worker node networking flaky with loss latency or bandwidth changes?,network-chaos,
83,How do I apply egress network impairment on a selected node interface?,network-chaos,
84,I want to reproduce random host network variation on a node rather than block a port.,network-chaos,
85,Which chaos test degrades the node host interface for ingress or egress traffic?,network-chaos,
86,How can I throttle node network bandwidth on masters during a drill?,network-chaos,
87,I need a host network chaos scenario and not an iptables based port filter.,network-chaos,
88,What should I use to shape traffic on specific node interfaces for a set duration?,network-chaos,
89,How do I simulate unstable host networking on a node with latency loss and bandwidth caps?,network-chaos,
90,How can I create CPU pressure on worker nodes for a resilience test?,node-cpu-hog,
91,I need to saturate the processors on selected nodes for a few minutes.,node-cpu-hog,
92,What scenario burns CPU on target nodes so I can watch scheduler behavior?,node-cpu-hog,
93,How do I hog node CPU resources without stressing memory or disk?,node-cpu-hog,
94,I want to simulate compute contention on a subset of workers.,node-cpu-hog,
95,Which chaos test deploys stress workloads to consume CPU on nodes?,node-cpu-hog,
96,How can I max out several cores on chosen nodes?,node-cpu-hog,
97,I need a node level CPU saturation drill rather than a pod delete.,node-cpu-hog,
98,What should I run to push node processors hard and observe alerts?,node-cpu-hog,
99,How do I create host CPU starvation conditions in the cluster?,node-cpu-hog,
100,How can I bring a worker node network interface down and later restore it?,node-interface-down,
101,I need to simulate a network cable pull on one node.,node-interface-down,
102,What scenario temporarily disables a node NIC to mimic a connectivity loss?,node-interface-down,
103,How do I take eth0 offline on a selected node for a short time?,node-interface-down,
104,I want to reproduce a node level NIC failure and then let the interface come back.,node-interface-down,
105,Which chaos test drops one or more node interfaces instead of shaping packets?,node-interface-down,
106,How can I simulate a node partition by shutting its primary interface down?,node-interface-down,
107,I need to cut a node network link and watch recovery after the interface returns.,node-interface-down,
108,What should I run to take the default network interface down on a worker?,node-interface-down,
109,How do I exercise recovery from a node interface outage?,node-interface-down,
110,How can I create heavy disk IO pressure on selected nodes?,node-io-hog,
111,I need a scenario that performs intense writes on worker nodes.,node-io-hog,
112,What should I run to saturate node storage throughput for a few minutes?,node-io-hog,
113,How do I simulate host level IO contention on one node?,node-io-hog,
114,I want to hog disk IO on target workers without filling a PVC.,node-io-hog,
115,Which chaos test stresses the node filesystem with write activity?,node-io-hog,
116,How can I generate IO wait on chosen nodes during a drill?,node-io-hog,
117,I need to pressure host disk performance and observe application impact.,node-io-hog,
118,What scenario consumes disk bandwidth on nodes rather than throttling a specific volume?,node-io-hog,
119,How do I run a node disk bottleneck experiment with stress workload pods?,node-io-hog,
120,How can I create severe memory pressure on worker nodes?,node-memory-hog,
121,I need to allocate lots of RAM on selected nodes to test evictions.,node-memory-hog,
122,What should I run to simulate node memory exhaustion?,node-memory-hog,
123,How do I hog virtual memory on a subset of cluster nodes?,node-memory-hog,
124,I want to push workers into low memory conditions and watch OOM handling.,node-memory-hog,
125,Which chaos test fills node memory without shutting the nodes down?,node-memory-hog,
126,How can I strain RAM availability on target nodes for a few minutes?,node-memory-hog,
127,I need a node level memory saturation drill rather than CPU or IO stress.,node-memory-hog,
128,What scenario creates host memory pressure that may trigger pod eviction behavior?,node-memory-hog,
129,How do I reproduce memory starvation on nodes during resilience testing?,node-memory-hog,
140,How can I block specific ports on a node using firewall style rules?,node-network-filter,
141,I need a scenario that cuts ingress or egress traffic on selected node ports.,node-network-filter,
142,What should I run to deny node communication on ports like 443 or 2379?,node-network-filter,
143,How do I apply an iptables based port filter to worker nodes?,node-network-filter,
144,I want to isolate nodes from certain services without adding latency or bandwidth caps.,node-network-filter,
145,Which chaos test blocks inbound and outbound traffic on node interfaces by port?,node-network-filter,
146,How can I stop nodes from talking on specific service ports during a drill?,node-network-filter,
147,I need a node level port filter and not a tc based shaping scenario.,node-network-filter,
148,What scenario reproduces service loss by filtering node traffic on chosen ports?,node-network-filter,
149,How do I add firewall style blocking to selected nodes in the cluster?,node-network-filter,
150,How can I reboot a node instance in the cluster as part of a chaos drill?,node-scenarios,
151,I need a scenario that stops and starts a worker through the cloud provider.,node-scenarios,
152,What should I run to terminate a named node instance on purpose?,node-scenarios,
153,How do I restart kubelet or crash a node without writing a custom script?,node-scenarios,
154,I want to simulate node lifecycle failures on a cloud backed cluster.,node-scenarios,
155,Which chaos test can reboot stop terminate or restart kubelet on nodes?,node-scenarios,
156,How can I run a node outage scenario on AWS Azure GCP or VMware?,node-scenarios,
157,I need to target nodes by label or by exact name for lifecycle disruption.,node-scenarios,
158,What scenario handles node start stop reboot and termination style failures?,node-scenarios,
159,How do I perform a node failure exercise that uses cloud APIs or generic node actions?,node-scenarios,
160,How can I reboot a bare metal node through BMC or IPMI during a chaos test?,node-scenarios-bm,
161,I need a scenario file driven node disruption flow for an on prem cluster.,node-scenarios-bm,
162,What should I run to power cycle a physical worker using IPMI credentials?,node-scenarios-bm,
163,How do I execute node chaos on bare metal instead of through a cloud API?,node-scenarios-bm,
164,I want to stop and start a physical node by supplying a baremetal scenario YAML.,node-scenarios-bm,
165,Which chaos test requires oc on the runner and a node scenarios file for BMC actions?,node-scenarios-bm,
166,How can I drive a hardware node outage from a scenario file on a metal cluster?,node-scenarios-bm,
167,I need to test reboot or terminate actions on IPMI managed servers.,node-scenarios-bm,
168,What scenario handles bare metal node failures using a file based configuration?,node-scenarios-bm,
169,How do I run node disruption on physical infrastructure with BMC powered actions?,node-scenarios-bm,
170,How can I block ingress and egress for selected pods during a resilience drill?,pod-network-chaos,
171,I need a pod outage scenario that isolates certain workloads from network traffic.,pod-network-chaos,
172,What should I run to cut pod traffic directions for a defined test window?,pod-network-chaos,
173,How do I block port 8443 for matching pods without deleting them?,pod-network-chaos,
174,I want to sever egress from app pods in one namespace for a few minutes.,pod-network-chaos,
175,Which chaos test creates a temporary pod network outage and supports excluding some pods?,pod-network-chaos,
176,How can I isolate pods from the network at the pod level to study dependency behavior?,pod-network-chaos,
177,I need to block all traffic or only selected ingress or egress ports for target pods.,pod-network-chaos,
178,What scenario makes chosen pods unreachable on the network but leaves the node intact?,pod-network-chaos,
179,How do I create pod specific network isolation based on labels or pod name?,pod-network-chaos,
180,How can I block a specific port on a pod using firewall style filtering?,pod-network-filter,
181,I need a scenario that denies TCP 443 egress from one target pod.,pod-network-filter,
182,What should I run to cut pod ingress on a chosen port without deleting the workload?,pod-network-filter,
183,How do I apply an iptables based network filter inside selected pods?,pod-network-filter,
184,I want to block DNS HTTP or database ports for one pod and leave other traffic untouched.,pod-network-filter,
185,Which chaos test selectively filters incoming or outgoing pod traffic by protocol and port?,pod-network-filter,
186,How can I firewall a pod instead of adding latency or killing it?,pod-network-filter,
187,I need a pod level port filter for inter pod communication tests.,pod-network-filter,
188,What scenario restricts traffic on chosen ports for a workload pod?,pod-network-filter,
189,How do I stop a target pod from receiving or sending traffic on specific ports only?,pod-network-filter,
190,How can I delete pods that match a label so I can verify they get recreated?,pod-scenarios,
191,I need a chaos scenario that disrupts specific pods in one namespace.,pod-scenarios,
192,What should I run to simulate a pod crash and rescheduling event?,pod-scenarios,
193,How do I kill one pod by name rather than killing a container inside it?,pod-scenarios,
194,I want to delete multiple matching pods over several iterations.,pod-scenarios,
195,Which chaos test targets pod objects and supports exclude labels?,pod-scenarios,
196,How can I validate deployment recovery by deleting selected pods?,pod-scenarios,
197,I need a pod failure drill and not a node reboot or container kill.,pod-scenarios,
198,What scenario knocks out pods so I can observe replacement timing?,pod-scenarios,
199,How do I induce a pod level outage for a chosen workload?,pod-scenarios,
200,How can I shut down the whole cluster for a while and then bring it back?,power-outages,
201,I need a scenario that simulates a full cluster power loss.,power-outages,
202,What should I run to turn the entire environment off and verify health after restart?,power-outages,
203,How do I shut down the entire Kubernetes cluster and bring it back after the outage window?,power-outages,
204,I want a cluster shutdown scenario rather than a single node failure.,power-outages,
205,Which chaos test power cycles the entire Kubernetes or OpenShift cluster?,power-outages,
206,How can I force a temporary full-cluster power outage?,power-outages,
207,I need to test recovery after the whole cluster is powered off and then restarted.,power-outages,
208,What scenario emulates a site wide power failure for the cluster?,power-outages,
209,How do I run the cluster power outage scenario that shuts down and restarts the full environment?,power-outages,
210,How can I fill a persistent volume claim until the application starts seeing low disk space?,pvc-scenarios,
211,I need a scenario that consumes free space inside a mounted PVC.,pvc-scenarios,
212,What should I run to simulate a disk full condition on a persistent volume claim?,pvc-scenarios,
213,How do I create storage exhaustion on one claim without throttling throughput?,pvc-scenarios,
214,I want to write junk data to a volume until it is nearly full.,pvc-scenarios,
215,Which chaos test fills a PVC with a temporary file to study app behavior?,pvc-scenarios,
216,How can I reproduce volume full errors for a stateful workload?,pvc-scenarios,
217,I need to pressure free space on a bound claim rather than limit IOPS.,pvc-scenarios,
218,What scenario makes a PVC run low on available storage?,pvc-scenarios,
219,How do I test how an app reacts when its persistent volume is almost full?,pvc-scenarios,
220,How can I delete important service objects in a namespace and observe what recreates them?,service-disruption-scenarios,
221,I need a scenario that removes crucial namespace scoped objects instead of shaping traffic.,service-disruption-scenarios,
222,What should I run to disrupt services by deleting them in one namespace?,service-disruption-scenarios,
223,How do I test whether Helm an operator or GitOps restores deleted service resources?,service-disruption-scenarios,
224,I want to remove a percentage of targeted services across several runs.,service-disruption-scenarios,
225,Which chaos test deletes services or other crucial objects in a namespace?,service-disruption-scenarios,
226,How can I simulate service disappearance without returning fake HTTP responses?,service-disruption-scenarios,
227,I need a deletion based service disruption drill for a chosen namespace.,service-disruption-scenarios,
228,What scenario intentionally removes service resources to validate recovery automation?,service-disruption-scenarios,
229,How do I chaos test namespace service objects by deleting them?,service-disruption-scenarios,
230,How can I make an existing Service return fake HTTP responses during a test?,service-hijacking,
231,I need a scenario that redirects a Service selector to a mock backend.,service-hijacking,
232,What should I run to simulate 500 responses or custom payloads from a live service?,service-hijacking,
233,How do I hijack service traffic so clients hit a temporary fake web app?,service-hijacking,
234,I want to return canned responses for specific paths and methods without deleting the service.,service-hijacking,
235,Which chaos test swaps the real service backend for a mock responder?,service-hijacking,
236,How can I emulate bad API behavior by serving custom status codes from a target service?,service-hijacking,
237,I need a scenario file driven test that overrides HTTP responses for a service.,service-hijacking,
238,What scenario reroutes production like service traffic to a controlled fake backend?,service-hijacking,
239,How do I manipulate service responses for chosen endpoints during a resilience drill?,service-hijacking,
240,How can I slow down read and write bandwidth on a PVC backed volume?,storage-throttle,
241,I need a scenario that caps IOPS for the storage used by a target pod.,storage-throttle,
242,What should I run to simulate degraded disk performance without filling the volume?,storage-throttle,
243,How do I throttle throughput on a mounted PVC so I can study database slowdown?,storage-throttle,
244,I want to apply cgroup IO limits to one workload volume for a few minutes.,storage-throttle,
245,Which chaos test rate limits read and write performance on a specific PVC?,storage-throttle,
246,How can I make storage feel slow rather than full for one application?,storage-throttle,
247,I need to reduce volume bandwidth or IOPS on a chosen mount path.,storage-throttle,
248,What scenario applies IO throttling to a pod using a persistent volume?,storage-throttle,
249,How do I create degraded storage conditions on a PVC backed workload?,storage-throttle,
250,How can I flood a service with TCP SYN packets instead of normal HTTP traffic?,syn-flood,
251,I need a scenario that simulates a half open connection attack.,syn-flood,
252,What should I run to stress port 443 with raw SYN traffic?,syn-flood,
253,How do I test load balancer or service resilience under a SYN flood?,syn-flood,
254,I want to generate distributed incomplete TCP handshakes against a target.,syn-flood,
255,Which chaos test overwhelms a service with packet level SYN traffic?,syn-flood,
256,How can I pressure a server using a SYN storm rather than application requests?,syn-flood,
257,I need to benchmark survivability under a TCP handshake abuse scenario.,syn-flood,
258,What scenario creates a distributed SYN flood against Kubernetes services?,syn-flood,
259,How do I simulate a connection flood made of SYN packets only?,syn-flood,
260,How can I skew the clock on selected pods or nodes?,time-scenarios,
261,I need a scenario that changes the system time or date for target workloads.,time-scenarios,
262,What should I run to simulate clock drift inside a pod?,time-scenarios,
263,How do I move a node date forward or backward during a resilience test?,time-scenarios,
264,I want to alter time on chosen objects to test cron cert or token behavior.,time-scenarios,
265,Which chaos test distorts pod or node clocks instead of touching networking?,time-scenarios,
266,How can I shift the clock inside a target container or pod?,time-scenarios,
267,I need a date skew drill for nodes and not a reboot scenario.,time-scenarios,
268,What scenario lets me run skew_time or skew_date on pods or nodes?,time-scenarios,
269,How do I validate application behavior under wrong system time?,time-scenarios,
270,How can I add latency packet loss or bandwidth limits to one KubeVirt VM network path?,vmi-network-chaos,
271,I need a scenario that shapes traffic on a VMI tap interface.,vmi-network-chaos,
272,What should I run to make one virtual machine network slow and lossy without affecting the node?,vmi-network-chaos,
273,How do I inject tc based network degradation into a single VMI?,vmi-network-chaos,
274,I want to cap bandwidth for one KubeVirt guest during a test.,vmi-network-chaos,
275,Which chaos test targets the virt launcher tap device for latency or loss injection?,vmi-network-chaos,
276,How can I simulate flaky networking for one virtual machine instance only?,vmi-network-chaos,
277,I need interface level network shaping for a VMI rather than a pod or node.,vmi-network-chaos,
278,What scenario degrades traffic for one guest VM through its tap interface?,vmi-network-chaos,
279,How do I run a network slowness drill against a single KubeVirt VMI?,vmi-network-chaos,
280,How can I block specific ports for one KubeVirt virtual machine instance?,vmi-network-filter,
281,I need a scenario that filters VMI traffic by protocol and port.,vmi-network-filter,
282,What should I run to cut DNS SSH or HTTP for a single virtual machine?,vmi-network-filter,
283,How do I apply firewall style filtering to a VMI tap interface?,vmi-network-filter,
284,I want to isolate one guest from certain network ports without disconnecting everything.,vmi-network-filter,
285,Which chaos test injects iptables based filtering into the virt launcher namespace?,vmi-network-filter,
286,How can I block outbound 53 or inbound 22 for one KubeVirt VM?,vmi-network-filter,
287,I need selective port level network isolation for a virtual machine workload.,vmi-network-filter,
288,What scenario stops one VMI from talking to a service on chosen ports only?,vmi-network-filter,
289,How do I run a port specific network filter against a single guest VM?,vmi-network-filter,
290,How can I simulate an outage for one availability zone in the cloud?,zone-outages,
291,I need a scenario that takes out a targeted AWS or GCP zone.,zone-outages,
292,What should I run to observe cluster behavior when an entire zone fails?,zone-outages,
293,How do I rehearse an AZ failure that affects worker and control plane capacity?,zone-outages,
294,I want a zone level disruption rather than a single node outage.,zone-outages,
295,Which chaos test isolates one cloud zone from the cluster for a set duration?,zone-outages,
296,How can I emulate public cloud zone failure impact on applications and control plane?,zone-outages,
297,I need to test multi AZ resilience by failing one zone on purpose.,zone-outages,
298,What scenario creates availability zone outage conditions in AWS or GCP?,zone-outages,
299,How do I run a zone failure drill across the cluster?,zone-outages,
